locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCJPFIPA_02278	gene	723				
NCJPFIPA_02278	CDS	723				hypothetical protein
NCJPFIPA_02279	gene	1044				
NCJPFIPA_02279	CDS	1044				hypothetical protein
NCJPFIPA_02280	gene	210				
NCJPFIPA_02280	CDS	210				hypothetical protein
NCJPFIPA_02281	gene	954				
NCJPFIPA_02281	CDS	954				hypothetical protein
NCJPFIPA_02282	gene	2355				
NCJPFIPA_02282	CDS	2355				hypothetical protein
NCJPFIPA_02283	gene	318				
NCJPFIPA_02283	CDS	318				hypothetical protein
NCJPFIPA_02284	gene	525				
NCJPFIPA_02284	CDS	525				hypothetical protein
NCJPFIPA_02285	gene	1428				
NCJPFIPA_02285	CDS	1428				hypothetical protein
NCJPFIPA_02286	gene	198				
NCJPFIPA_02286	CDS	198				hypothetical protein
NCJPFIPA_02287	gene	456				
NCJPFIPA_02287	CDS	456				hypothetical protein
NCJPFIPA_02288	gene	315				
NCJPFIPA_02288	CDS	315				hypothetical protein
NCJPFIPA_02289	gene	573	mltF_1			
NCJPFIPA_02289	CDS	573	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
NCJPFIPA_02290	gene	288				
NCJPFIPA_02290	CDS	288				hypothetical protein
NCJPFIPA_02291	gene	348				
NCJPFIPA_02291	CDS	348				hypothetical protein
NCJPFIPA_02292	gene	1350	lysC			
NCJPFIPA_02292	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
NCJPFIPA_02293	gene	1650	pgi			
NCJPFIPA_02293	CDS	1650	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
NCJPFIPA_02294	gene	246				
NCJPFIPA_02294	CDS	246				hypothetical protein
NCJPFIPA_02295	gene	639	gfcB			
NCJPFIPA_02295	CDS	639	gfcB			putative lipoprotein GfcB
NCJPFIPA_02296	gene	738				
NCJPFIPA_02296	CDS	738				hypothetical protein
NCJPFIPA_02297	gene	2097				
NCJPFIPA_02297	CDS	2097				hypothetical protein
NCJPFIPA_02298	gene	411	psiE			
NCJPFIPA_02298	CDS	411	psiE		COG3223	Protein PsiE
NCJPFIPA_02299	gene	891	malG			
NCJPFIPA_02299	CDS	891	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
NCJPFIPA_02300	gene	1545	malF			
NCJPFIPA_02300	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
NCJPFIPA_02301	gene	1191	malE			
NCJPFIPA_02301	CDS	1191	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
NCJPFIPA_02302	gene	1110	malK			
NCJPFIPA_02302	CDS	1110	malK	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
NCJPFIPA_02303	gene	1359	lamB			
NCJPFIPA_02303	CDS	1359	lamB		COG4580	Maltoporin
NCJPFIPA_02304	gene	918				
NCJPFIPA_02304	CDS	918				hypothetical protein
NCJPFIPA_02305	gene	498	ubiC			
NCJPFIPA_02305	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
NCJPFIPA_02306	gene	873	ubiA			
NCJPFIPA_02306	CDS	873	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
NCJPFIPA_02307	gene	2421	plsB			
NCJPFIPA_02307	CDS	2421	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
NCJPFIPA_02308	gene	369	dgkA			
NCJPFIPA_02308	CDS	369	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
NCJPFIPA_02309	gene	609	lexA			
NCJPFIPA_02309	CDS	609	lexA	3.4.21.88	COG1974	LexA repressor
NCJPFIPA_02310	gene	1326	dinF			
NCJPFIPA_02310	CDS	1326	dinF		COG0534	DNA damage-inducible protein F
NCJPFIPA_02311	gene	129				
NCJPFIPA_02311	CDS	129				hypothetical protein
NCJPFIPA_02312	gene	213				
NCJPFIPA_02312	CDS	213				hypothetical protein
NCJPFIPA_02313	gene	105				
NCJPFIPA_02313	CDS	105				hypothetical protein
NCJPFIPA_02314	gene	522	zur			
NCJPFIPA_02314	CDS	522	zur		COG0735	Zinc uptake regulation protein
NCJPFIPA_02315	gene	1311				
NCJPFIPA_02315	CDS	1311				hypothetical protein
NCJPFIPA_02316	gene	999	dusA			
NCJPFIPA_02316	CDS	999	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
NCJPFIPA_02317	gene	243	pspG			
NCJPFIPA_02317	CDS	243	pspG			Phage shock protein G
NCJPFIPA_02318	gene	984	qorA			
NCJPFIPA_02318	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
NCJPFIPA_02319	gene	1416	dnaB_1			
NCJPFIPA_02319	CDS	1416	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
NCJPFIPA_02320	gene	1080	alr			
NCJPFIPA_02320	CDS	1080	alr	5.1.1.1	COG0787	Alanine racemase, biosynthetic
NCJPFIPA_02321	gene	1194	tyrB			
NCJPFIPA_02321	CDS	1194	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
NCJPFIPA_02322	gene	714	aphA			
NCJPFIPA_02322	CDS	714	aphA	3.1.3.2	COG3700	Class B acid phosphatase
NCJPFIPA_02323	gene	417				
NCJPFIPA_02323	CDS	417				hypothetical protein
NCJPFIPA_02324	gene	357	yjbR			
NCJPFIPA_02324	CDS	357	yjbR		COG2315	putative protein YjbR
NCJPFIPA_02325	gene	339				
NCJPFIPA_02325	CDS	339				hypothetical protein
NCJPFIPA_02326	gene	444				
NCJPFIPA_02326	CDS	444				hypothetical protein
NCJPFIPA_02327	gene	2826	uvrA			
NCJPFIPA_02327	CDS	2826	uvrA		COG0178	UvrABC system protein A
NCJPFIPA_02328	gene	531	ssb			
NCJPFIPA_02328	CDS	531	ssb		COG0629	Single-stranded DNA-binding protein
NCJPFIPA_02329	gene	633				
NCJPFIPA_02329	CDS	633				hypothetical protein
NCJPFIPA_02330	gene	1389				
NCJPFIPA_02330	CDS	1389				hypothetical protein
NCJPFIPA_02331	gene	1320	tolC_2			
NCJPFIPA_02331	CDS	1320	tolC_2		COG1538	Outer membrane protein TolC
NCJPFIPA_02332	gene	1278	prsE_1			
NCJPFIPA_02332	CDS	1278	prsE_1			Type I secretion system membrane fusion protein PrsE
NCJPFIPA_02333	gene	9846				
NCJPFIPA_02333	CDS	9846				hypothetical protein
NCJPFIPA_02334	gene	3837				
NCJPFIPA_02334	CDS	3837				hypothetical protein
NCJPFIPA_02335	gene	2067	btuD_4			
NCJPFIPA_02335	CDS	2067	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NCJPFIPA_02336	gene	282				
NCJPFIPA_02336	CDS	282				hypothetical protein
NCJPFIPA_02337	gene	1602	pdeC			
NCJPFIPA_02337	CDS	1602	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
NCJPFIPA_02338	gene	324	soxS			
NCJPFIPA_02338	CDS	324	soxS			Regulatory protein SoxS
NCJPFIPA_02339	gene	459	soxR			
NCJPFIPA_02339	CDS	459	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
NCJPFIPA_02340	gene	669	yfcG_1			
NCJPFIPA_02340	CDS	669	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
NCJPFIPA_02341	gene	1350	ghxP			
NCJPFIPA_02341	CDS	1350	ghxP		COG2252	Guanine/hypoxanthine permease GhxP
NCJPFIPA_02342	gene	1689	nhaK			
NCJPFIPA_02342	CDS	1689	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
NCJPFIPA_02343	gene	888	oxyR_1			
NCJPFIPA_02343	CDS	888	oxyR_1			Hydrogen peroxide-inducible genes activator
NCJPFIPA_02344	gene	411	cidA			
NCJPFIPA_02344	CDS	411	cidA			Holin-like protein CidA
NCJPFIPA_02345	gene	690	yohK_2			
NCJPFIPA_02345	CDS	690	yohK_2		COG1346	Inner membrane protein YohK
NCJPFIPA_02346	gene	1650	actP_2			
NCJPFIPA_02346	CDS	1650	actP_2		COG4147	Cation/acetate symporter ActP
NCJPFIPA_02347	gene	315	yjcH			
NCJPFIPA_02347	CDS	315	yjcH		COG3162	Inner membrane protein YjcH
NCJPFIPA_02348	gene	1959	acs_2			
NCJPFIPA_02348	CDS	1959	acs_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
NCJPFIPA_02349	gene	1437	nrfA			
NCJPFIPA_02349	CDS	1437	nrfA	1.7.2.2	COG3303	Cytochrome c-552
NCJPFIPA_02350	gene	567	nrfB			
NCJPFIPA_02350	CDS	567	nrfB			Cytochrome c-type protein NrfB
NCJPFIPA_02351	gene	672	ydhX			
NCJPFIPA_02351	CDS	672	ydhX		COG0437	putative ferredoxin-like protein YdhX
NCJPFIPA_02352	gene	957				
NCJPFIPA_02352	CDS	957				hypothetical protein
NCJPFIPA_02353	gene	2223				
NCJPFIPA_02353	CDS	2223				hypothetical protein
NCJPFIPA_02354	gene	621	nrfG			
NCJPFIPA_02354	CDS	621	nrfG		COG4235	Formate-dependent nitrite reductase complex subunit NrfG
NCJPFIPA_02355	gene	1311	gltP			
NCJPFIPA_02355	CDS	1311	gltP		COG1301	Proton/glutamate-aspartate symporter
NCJPFIPA_02356	gene	690				
NCJPFIPA_02356	CDS	690				hypothetical protein
NCJPFIPA_02357	gene	1680	fdhF_1			
NCJPFIPA_02357	CDS	1680	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
NCJPFIPA_02358	gene	420	fdhF_2			
NCJPFIPA_02358	CDS	420	fdhF_2	1.17.1.9	COG0243	Formate dehydrogenase H
NCJPFIPA_02359	gene	909				
NCJPFIPA_02359	CDS	909				hypothetical protein
NCJPFIPA_02360	gene	435	phnO			
NCJPFIPA_02360	CDS	435	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
NCJPFIPA_02361	gene	444				
NCJPFIPA_02361	CDS	444				hypothetical protein
NCJPFIPA_02362	gene	336				
NCJPFIPA_02362	CDS	336				hypothetical protein
NCJPFIPA_02363	gene	1503	proP_1			
NCJPFIPA_02363	CDS	1503	proP_1			Proline/betaine transporter
NCJPFIPA_02364	gene	90				
NCJPFIPA_02364	CDS	90				hypothetical protein
NCJPFIPA_02365	gene	1080	basS			
NCJPFIPA_02365	CDS	1080	basS	2.7.13.3		Sensor protein BasS
NCJPFIPA_02366	gene	669	basR			
NCJPFIPA_02366	CDS	669	basR			Transcriptional regulatory protein BasR
NCJPFIPA_02367	gene	1644	eptA			
NCJPFIPA_02367	CDS	1644	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
NCJPFIPA_02368	gene	1338	adiC			
NCJPFIPA_02368	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
NCJPFIPA_02369	gene	795	gadX_1			
NCJPFIPA_02369	CDS	795	gadX_1			HTH-type transcriptional regulator GadX
NCJPFIPA_02370	gene	2271	adiA			
NCJPFIPA_02370	CDS	2271	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
NCJPFIPA_02371	gene	933	melR			
NCJPFIPA_02371	CDS	933	melR			Melibiose operon regulatory protein
NCJPFIPA_02372	gene	1353	melA			
NCJPFIPA_02372	CDS	1353	melA	3.2.1.22	COG1486	Alpha-galactosidase
NCJPFIPA_02373	gene	1431	melB			
NCJPFIPA_02373	CDS	1431	melB		COG2211	Melibiose carrier protein
NCJPFIPA_02374	gene	1647	fumB_1			
NCJPFIPA_02374	CDS	1647	fumB_1	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
NCJPFIPA_02375	gene	1341	dcuB			
NCJPFIPA_02375	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
NCJPFIPA_02376	gene	267				
NCJPFIPA_02376	CDS	267				hypothetical protein
NCJPFIPA_02377	gene	720	dcuR			
NCJPFIPA_02377	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
NCJPFIPA_02378	gene	1632	dcuS			
NCJPFIPA_02378	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
NCJPFIPA_02379	gene	2430	dmsA_1			
NCJPFIPA_02379	CDS	2430	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
NCJPFIPA_02380	gene	627	dmsB_2			
NCJPFIPA_02380	CDS	627	dmsB_2		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
NCJPFIPA_02381	gene	774	dmsC_2			
NCJPFIPA_02381	CDS	774	dmsC_2		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
NCJPFIPA_02382	gene	594	dmsD_2			
NCJPFIPA_02382	CDS	594	dmsD_2		COG3381	Tat proofreading chaperone DmsD
NCJPFIPA_02383	gene	1401				
NCJPFIPA_02383	CDS	1401				hypothetical protein
NCJPFIPA_02384	gene	861	yjiK			
NCJPFIPA_02384	CDS	861	yjiK		COG3204	putative protein YjiK
NCJPFIPA_02385	gene	363				
NCJPFIPA_02385	CDS	363				hypothetical protein
NCJPFIPA_02386	gene	273	rcsB_1			
NCJPFIPA_02386	CDS	273	rcsB_1			Transcriptional regulatory protein RcsB
NCJPFIPA_02387	gene	876	gadX_2			
NCJPFIPA_02387	CDS	876	gadX_2			HTH-type transcriptional regulator GadX
NCJPFIPA_02388	gene	294				
NCJPFIPA_02388	CDS	294				hypothetical protein
NCJPFIPA_02389	gene	492				
NCJPFIPA_02389	CDS	492				hypothetical protein
NCJPFIPA_02390	gene	753	phoC			
NCJPFIPA_02390	CDS	753	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
NCJPFIPA_02391	gene	378				
NCJPFIPA_02391	CDS	378				hypothetical protein
NCJPFIPA_02392	gene	333	hmrR_2			
NCJPFIPA_02392	CDS	333	hmrR_2			HTH-type transcriptional regulator HmrR
NCJPFIPA_02393	gene	76				
NCJPFIPA_02393	tRNA	76				tRNA-Phe(gaa)
NCJPFIPA_02394	gene	576				
NCJPFIPA_02394	CDS	576				hypothetical protein
NCJPFIPA_02395	gene	1704	dsbD_1			
NCJPFIPA_02395	CDS	1704	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
NCJPFIPA_02396	gene	348	cutA			
NCJPFIPA_02396	CDS	348	cutA		COG1324	Divalent-cation tolerance protein CutA
NCJPFIPA_02397	gene	1302	dcuA_2			
NCJPFIPA_02397	CDS	1302	dcuA_2		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
NCJPFIPA_02398	gene	1437	aspA			
NCJPFIPA_02398	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
NCJPFIPA_02399	gene	516				
NCJPFIPA_02399	CDS	516				hypothetical protein
NCJPFIPA_02400	gene	1263	yjeH			
NCJPFIPA_02400	CDS	1263	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
NCJPFIPA_02401	gene	294	groS			
NCJPFIPA_02401	CDS	294	groS		COG0234	10 kDa chaperonin
NCJPFIPA_02402	gene	1647	groL			
NCJPFIPA_02402	CDS	1647	groL			60 kDa chaperonin
NCJPFIPA_02403	gene	354				
NCJPFIPA_02403	CDS	354				hypothetical protein
NCJPFIPA_02404	gene	858				
NCJPFIPA_02404	CDS	858				hypothetical protein
NCJPFIPA_02405	gene	1029	epmB			
NCJPFIPA_02405	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
NCJPFIPA_02406	gene	567	efp			
NCJPFIPA_02406	CDS	567	efp		COG0231	Elongation factor P
NCJPFIPA_02407	gene	174				
NCJPFIPA_02407	CDS	174				hypothetical protein
NCJPFIPA_02408	gene	588	rcsA_1			
NCJPFIPA_02408	CDS	588	rcsA_1			Transcriptional regulatory protein RcsA
NCJPFIPA_02409	gene	318	gdx			
NCJPFIPA_02409	CDS	318	gdx			Guanidinium exporter
NCJPFIPA_02410	gene	534	blc			
NCJPFIPA_02410	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
NCJPFIPA_02411	gene	360	frdD			
NCJPFIPA_02411	CDS	360	frdD		COG3080	Fumarate reductase subunit D
NCJPFIPA_02412	gene	396	frdC			
NCJPFIPA_02412	CDS	396	frdC		COG3029	Fumarate reductase subunit C
NCJPFIPA_02413	gene	735	frdB			
NCJPFIPA_02413	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
NCJPFIPA_02414	gene	1791	frdA			
NCJPFIPA_02414	CDS	1791	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
NCJPFIPA_02415	gene	978	epmA			
NCJPFIPA_02415	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
NCJPFIPA_02416	gene	1503	yjeM			
NCJPFIPA_02416	CDS	1503	yjeM			Inner membrane transporter YjeM
NCJPFIPA_02417	gene	315	yjeO			
NCJPFIPA_02417	CDS	315	yjeO			Inner membrane protein YjeO
NCJPFIPA_02418	gene	3327	mscM			
NCJPFIPA_02418	CDS	3327	mscM		COG3264	Miniconductance mechanosensitive channel MscM
NCJPFIPA_02419	gene	969	psd			
NCJPFIPA_02419	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
NCJPFIPA_02420	gene	1053	rsgA			
NCJPFIPA_02420	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
NCJPFIPA_02421	gene	546	orn			
NCJPFIPA_02421	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
NCJPFIPA_02422	gene	741	artJ_1			
NCJPFIPA_02422	CDS	741	artJ_1		COG0834	ABC transporter arginine-binding protein 1
NCJPFIPA_02423	gene	76				
NCJPFIPA_02423	tRNA	76				tRNA-Gly(gcc)
NCJPFIPA_02424	gene	76				
NCJPFIPA_02424	tRNA	76				tRNA-Gly(gcc)
NCJPFIPA_02425	gene	603	napC			
NCJPFIPA_02425	CDS	603	napC		COG3005	Cytochrome c-type protein NapC
NCJPFIPA_02426	gene	450	napB			
NCJPFIPA_02426	CDS	450	napB		COG3043	Periplasmic nitrate reductase, electron transfer subunit
NCJPFIPA_02427	gene	870	napH			
NCJPFIPA_02427	CDS	870	napH		COG0348	Ferredoxin-type protein NapH
NCJPFIPA_02428	gene	696	napG			
NCJPFIPA_02428	CDS	696	napG		COG1145	Ferredoxin-type protein NapG
NCJPFIPA_02429	gene	2487	napA			
NCJPFIPA_02429	CDS	2487	napA	1.9.6.1	COG0243	Periplasmic nitrate reductase
NCJPFIPA_02430	gene	264	napD			
NCJPFIPA_02430	CDS	264	napD		COG3062	Chaperone NapD
NCJPFIPA_02431	gene	492	napF_1			
NCJPFIPA_02431	CDS	492	napF_1		COG1145	Ferredoxin-type protein NapF
NCJPFIPA_02432	gene	132				
NCJPFIPA_02432	CDS	132				hypothetical protein
NCJPFIPA_02433	gene	507	eco			
NCJPFIPA_02433	CDS	507	eco		COG4574	Ecotin
NCJPFIPA_02434	gene	1644	yojI			
NCJPFIPA_02434	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
NCJPFIPA_02435	gene	651	alkB			
NCJPFIPA_02435	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
NCJPFIPA_02436	gene	1059	ada			
NCJPFIPA_02436	CDS	1059	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
NCJPFIPA_02437	gene	1053	apbE			
NCJPFIPA_02437	CDS	1053	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
NCJPFIPA_02438	gene	1137	ompC_2			
NCJPFIPA_02438	CDS	1137	ompC_2		COG3203	Outer membrane porin C
NCJPFIPA_02439	gene	2670	rcsD			
NCJPFIPA_02439	CDS	2670	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
NCJPFIPA_02440	gene	651	rcsB_2			
NCJPFIPA_02440	CDS	651	rcsB_2		COG2197	Transcriptional regulatory protein RcsB
NCJPFIPA_02441	gene	2847	rcsC_2			
NCJPFIPA_02441	CDS	2847	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
NCJPFIPA_02442	gene	2637	gyrA			
NCJPFIPA_02442	CDS	2637	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
NCJPFIPA_02443	gene	1203	rspA_2			
NCJPFIPA_02443	CDS	1203	rspA_2	4.2.1.-	COG4948	D-galactonate dehydratase family member RspA
NCJPFIPA_02444	gene	1326	ttuB_2			
NCJPFIPA_02444	CDS	1326	ttuB_2			Putative tartrate transporter
NCJPFIPA_02445	gene	885	nanR_1			
NCJPFIPA_02445	CDS	885	nanR_1			HTH-type transcriptional repressor NanR
NCJPFIPA_02446	gene	729	ubiG			
NCJPFIPA_02446	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
NCJPFIPA_02447	gene	2286	nrdA			
NCJPFIPA_02447	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
NCJPFIPA_02448	gene	1131	nrdB			
NCJPFIPA_02448	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
NCJPFIPA_02449	gene	255				
NCJPFIPA_02449	CDS	255		1.14.13.239		Carnitine monooxygenase reductase subunit
NCJPFIPA_02450	gene	1218	cntE			
NCJPFIPA_02450	CDS	1218	cntE			Staphylopine export protein
NCJPFIPA_02451	gene	879	gltC_1			
NCJPFIPA_02451	CDS	879	gltC_1			HTH-type transcriptional regulator GltC
NCJPFIPA_02452	gene	1083	glpQ			
NCJPFIPA_02452	CDS	1083	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
NCJPFIPA_02453	gene	1359	glpT			
NCJPFIPA_02453	CDS	1359	glpT		COG2271	Glycerol-3-phosphate transporter
NCJPFIPA_02454	gene	1629	glpA			
NCJPFIPA_02454	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
NCJPFIPA_02455	gene	1260	glpB			
NCJPFIPA_02455	CDS	1260	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
NCJPFIPA_02456	gene	1191	glpC			
NCJPFIPA_02456	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
NCJPFIPA_02457	gene	1023	sseL			
NCJPFIPA_02457	CDS	1023	sseL	3.4.22.-		Deubiquitinase SseL
NCJPFIPA_02458	gene	177				
NCJPFIPA_02458	CDS	177				hypothetical protein
NCJPFIPA_02459	gene	804	rhmA			
NCJPFIPA_02459	CDS	804	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
NCJPFIPA_02460	gene	1290	rhmT			
NCJPFIPA_02460	CDS	1290	rhmT			Inner membrane transport protein RhmT
NCJPFIPA_02461	gene	1206	rhmD			
NCJPFIPA_02461	CDS	1206	rhmD	4.2.1.90	COG4948	L-rhamnonate dehydratase
NCJPFIPA_02462	gene	783	rhmR_2			
NCJPFIPA_02462	CDS	783	rhmR_2		COG1414	putative HTH-type transcriptional regulator RhmR
NCJPFIPA_02463	gene	1197	pncC_3			
NCJPFIPA_02463	CDS	1197	pncC_3	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
NCJPFIPA_02464	gene	567				
NCJPFIPA_02464	CDS	567				hypothetical protein
NCJPFIPA_02465	gene	426	nudI			
NCJPFIPA_02465	CDS	426	nudI	3.6.1.9	COG0494	Nucleoside triphosphatase NudI
NCJPFIPA_02466	gene	216	ais_1			
NCJPFIPA_02466	CDS	216	ais_1	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
NCJPFIPA_02467	gene	393	ais_2			
NCJPFIPA_02467	CDS	393	ais_2	3.1.3.-		Lipopolysaccharide core heptose(II)-phosphate phosphatase
NCJPFIPA_02468	gene	1140	arnB			
NCJPFIPA_02468	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
NCJPFIPA_02469	gene	984	arnC			
NCJPFIPA_02469	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
NCJPFIPA_02470	gene	1983	arnA			
NCJPFIPA_02470	CDS	1983	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
NCJPFIPA_02471	gene	900	arnD			
NCJPFIPA_02471	CDS	900	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
NCJPFIPA_02472	gene	1647	arnT			
NCJPFIPA_02472	CDS	1647	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
NCJPFIPA_02473	gene	336	arnE			
NCJPFIPA_02473	CDS	336	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
NCJPFIPA_02474	gene	378	arnF			
NCJPFIPA_02474	CDS	378	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
NCJPFIPA_02475	gene	258	pmrD			
NCJPFIPA_02475	CDS	258	pmrD			Signal transduction protein PmrD
NCJPFIPA_02476	gene	1368	menE			
NCJPFIPA_02476	CDS	1368	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
NCJPFIPA_02477	gene	963	menC			
NCJPFIPA_02477	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
NCJPFIPA_02478	gene	858	menB			
NCJPFIPA_02478	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
NCJPFIPA_02479	gene	759	menH_3			
NCJPFIPA_02479	CDS	759	menH_3	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
NCJPFIPA_02480	gene	1671	menD			
NCJPFIPA_02480	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
NCJPFIPA_02481	gene	1296	menF			
NCJPFIPA_02481	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
NCJPFIPA_02482	gene	306	elaB			
NCJPFIPA_02482	CDS	306	elaB		COG4575	Protein ElaB
NCJPFIPA_02483	gene	462	elaA			
NCJPFIPA_02483	CDS	462	elaA		COG2153	Protein ElaA
NCJPFIPA_02484	gene	918	rbn_2			
NCJPFIPA_02484	CDS	918	rbn_2	3.1.-.-	COG1234	Ribonuclease BN
NCJPFIPA_02485	gene	1002	cheV			
NCJPFIPA_02485	CDS	1002	cheV		COG0784	Chemotaxis protein CheV
NCJPFIPA_02486	gene	1782				
NCJPFIPA_02486	CDS	1782				hypothetical protein
NCJPFIPA_02487	gene	1458	nuoN			
NCJPFIPA_02487	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
NCJPFIPA_02488	gene	1530	nuoM			
NCJPFIPA_02488	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
NCJPFIPA_02489	gene	1842	nuoL			
NCJPFIPA_02489	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
NCJPFIPA_02490	gene	303	nuoK			
NCJPFIPA_02490	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
NCJPFIPA_02491	gene	555	nuoJ			
NCJPFIPA_02491	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
NCJPFIPA_02492	gene	543	nuoI			
